Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating,
Whirlpool,235 L,Double Door,3 Star,"₹ 28,699",26% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 28,590",21% off,4.2,
LG,264 L,Double Door,2 Star,"₹ 28,550",28% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 28,550",29% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 28,490",25% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 28,490",31% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 28,490",37% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 28,480",32% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 28,390",28% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 27,999",24% off,4.4,
Haier,325 L,Double Door,3 Star,"₹ 27,990",42% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 27,990",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 27,990",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 27,990",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 27,990",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 27,990",29% off,4.5,
Haier,596 L,Side by Side,N/A,"₹ 27,990",42% off,4.3,
Whirlpool,236 L,Single Door,5 Star,"₹ 27,890",24% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 27,790",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 27,751",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 27,699",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 27,980",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 27,599",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 27,590",30% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 27,590",26% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 27,590",21% off,4.2,
LG,264 L,Double Door,2 Star,"₹ 27,499",29% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 27,490",28% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 27,490",25% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 27,490",37% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 27,490",32% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 27,490",24% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 27,450",42% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 27,348",28% off,4.4,
Haier,325 L,Double Door,3 Star,"₹ 27,270",31% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 27,190",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 27,099",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 26,999",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 26,999",23% off,4.3,
Haier,596 L,Side by Side,N/A,"₹ 26,999",42% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 26,999",24% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 26,999",29% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 28,050",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 26,990",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 26,990",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 26,990",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 26,990",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 26,990",30% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 26,990",26% off,4.1,
